drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
rnt,n/a,N/A,0
ro 09-1978/000,trastuzumab-qyyp,trastuzumab-qyyp,0
ro-7200220,...,...,0
ro-papav,papaverine,Papaverine,0
ro4368451,trastuzumab-qyyp,trastuzumab-qyyp,0
ro67-5930,...,...,0
rocket fuel,pcb,pcb,0
rogorafenib,...,...,0
rongliflozin/olorigliflozin,see alternative names,See alternative names,0
ropion,flurbiprofen,flurbiprofen,0
ros-scavenging nanoenzymes,...,...,0
rosafem,estradiol,estradiol,0
rp 56976,trastuzumab-qyyp,trastuzumab-qyyp,0
rp 64305,ebastine,Ebastine,0
rp-64305,ebastine,Ebastine,0
rp2d dose of of hydroxychloroquine,trastuzumab-qyyp,trastuzumab-qyyp,1
rp2d dose of tislelizumab,trastuzumab-qyyp,trastuzumab-qyyp,1
rp56976,trastuzumab-qyyp,trastuzumab-qyyp,0
rp64305,ebastine,Ebastine,0
rph-051,trastuzumab-qyyp,trastuzumab-qyyp,1
rpi-1,"varies, see alternative names","Varies, see alternative names",0
rt-ct,n/a,N/A,0
rta 744,rta 744,RTA 744,1
rta-744,rta 744,RTA 744,0
rttvδtk-il21,...,...,0
rttvδtk-mil21,...,...,0
rtxm-83,trastuzumab-qyyp,trastuzumab-qyyp,0
ru-19847,gonadorelin,gonadorelin,0
ru-vert-m,meclizine,Meclizine,0
rybelsus,...,...,0
s fix,cefixime,cefixime,0
s-1 capsules,trastuzumab-qyyp,trastuzumab-qyyp,0
s-1 for 1 year,trastuzumab-qyyp,trastuzumab-qyyp,0
s-1 for 9 months,trastuzumab-qyyp,trastuzumab-qyyp,0
s-1 （sox）,trastuzumab-qyyp,trastuzumab-qyyp,0
s-1),trastuzumab-qyyp,trastuzumab-qyyp,0
